Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
room-32-32-4.map,100,90,6,False,-1,90.03173089027405
room-32-32-4.map,100,90,7,False,-1,90.0320520401001
room-32-32-4.map,100,90,8,False,-1,90.03070211410522
room-32-32-4.map,100,90,9,False,-1,90.03053593635559
room-32-32-4.map,100,90,10,False,-1,90.03148698806763
room-32-32-4.map,100,120,1,False,-1,120.03146314620972
room-32-32-4.map,100,120,2,False,-1,120.03601694107056
room-32-32-4.map,100,120,3,False,-1,120.03125786781311
room-32-32-4.map,100,120,4,False,-1,120.03178977966309
room-32-32-4.map,100,120,5,False,-1,120.03475189208984
room-32-32-4.map,100,120,6,False,-1,120.0327079296112
room-32-32-4.map,100,120,7,False,-1,120.03125309944153
room-32-32-4.map,100,120,8,False,-1,120.03295111656189
room-32-32-4.map,100,120,9,False,-1,120.0301399230957
room-32-32-4.map,100,120,10,False,-1,120.03497290611267
room-32-32-4.map,100,150,1,False,-1,150.03304290771484
room-32-32-4.map,100,150,2,False,-1,150.032310962677
room-32-32-4.map,100,150,3,False,-1,150.03370809555054
room-32-32-4.map,100,150,4,False,-1,150.03195309638977
room-32-32-4.map,100,150,5,False,-1,150.034343957901
room-32-32-4.map,100,150,6,False,-1,150.0364351272583
room-32-32-4.map,100,150,7,False,-1,150.03352808952332
room-32-32-4.map,100,150,8,False,-1,150.030827999115
room-32-32-4.map,100,150,9,False,-1,150.035551071167
room-32-32-4.map,100,150,10,False,-1,150.03187489509583
maze-32-32-4.map,20,30,1,True,1086,0.11034584045410156
maze-32-32-4.map,20,30,2,True,1013,0.10718107223510742
maze-32-32-4.map,20,30,3,True,1017,0.11423301696777344
maze-32-32-4.map,20,30,4,True,1089,0.10352206230163574
maze-32-32-4.map,20,30,5,True,1089,0.09424209594726562
maze-32-32-4.map,20,30,6,True,1042,0.11026978492736816
maze-32-32-4.map,20,30,7,False,-1,30.027849912643433
maze-32-32-4.map,20,30,8,False,-1,30.029051065444946
maze-32-32-4.map,20,30,9,False,-1,30.030954122543335
maze-32-32-4.map,20,30,10,True,1122,0.15366911888122559
maze-32-32-4.map,20,60,1,True,1086,0.10958099365234375
maze-32-32-4.map,20,60,2,True,1013,0.10548782348632812
maze-32-32-4.map,20,60,3,True,1017,0.11534476280212402
maze-32-32-4.map,20,60,4,True,1089,0.10340285301208496
maze-32-32-4.map,20,60,5,True,1089,0.09763574600219727
maze-32-32-4.map,20,60,6,True,1042,0.11080074310302734
maze-32-32-4.map,20,60,7,False,-1,60.030481815338135
maze-32-32-4.map,20,60,8,False,-1,60.03055787086487
maze-32-32-4.map,20,60,9,False,-1,60.030579805374146
maze-32-32-4.map,20,60,10,True,1122,0.15479302406311035
maze-32-32-4.map,20,90,1,True,1086,0.10959410667419434
maze-32-32-4.map,20,90,2,True,1013,0.1056969165802002
maze-32-32-4.map,20,90,3,True,1017,0.11341428756713867
maze-32-32-4.map,20,90,4,True,1089,0.10322785377502441
maze-32-32-4.map,20,90,5,True,1089,0.09619498252868652
maze-32-32-4.map,20,90,6,True,1042,0.11080670356750488
maze-32-32-4.map,20,90,7,False,-1,90.03054118156433
maze-32-32-4.map,20,90,8,False,-1,90.03351974487305
maze-32-32-4.map,20,90,9,False,-1,90.03158807754517
maze-32-32-4.map,20,90,10,True,1122,0.15318608283996582
maze-32-32-4.map,20,120,1,True,1086,0.10840702056884766
maze-32-32-4.map,20,120,2,True,1013,0.10305905342102051
maze-32-32-4.map,20,120,3,True,1017,0.11285686492919922
maze-32-32-4.map,20,120,4,True,1089,0.10435009002685547
maze-32-32-4.map,20,120,5,True,1089,0.09667778015136719
maze-32-32-4.map,20,120,6,True,1042,0.11102485656738281
maze-32-32-4.map,20,120,7,False,-1,120.03091311454773
maze-32-32-4.map,20,120,8,False,-1,120.03065204620361
maze-32-32-4.map,20,120,9,False,-1,120.03307294845581
maze-32-32-4.map,20,120,10,True,1122,0.15471792221069336
maze-32-32-4.map,20,150,1,True,1086,0.11066508293151855
